"els_id","room_id","datetime","temp01","temp06","temp11","temp17","tempx","hum01","hum06","hum11","hum17","humx"
ELS_RM12349,1,2023-11-29 10:31:05.000,,17.8,,,,,48.0,,,
ELS_RM12349,1,2023-11-29 10:31:38.000,,,18.0,,,,,47.0,,
ELS_RM12349,1,2023-11-29 10:31:57.000,17.6,,,,,48.0,,,,
ELS_RM12349,1,2023-11-29 10:32:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:32:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:32:36.000,,,,17.8,,,,,47.0,
ELS_RM12349,1,2023-11-29 10:32:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:33:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:34:14.000,,,,,19.0,,,,,42.0
ELS_RM12349,1,2023-11-29 10:34:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:36:05.000,,17.7,,,,,45.0,,,
ELS_RM12349,1,2023-11-29 10:36:38.000,,,17.9,,,,,44.0,,
ELS_RM12349,1,2023-11-29 10:36:57.000,17.4,,,,,45.0,,,,
ELS_RM12349,1,2023-11-29 10:37:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:37:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:37:36.000,,,,17.7,,,,,43.0,
ELS_RM12349,1,2023-11-29 10:37:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:38:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:39:14.000,,,,,18.7,,,,,41.0
ELS_RM12349,1,2023-11-29 10:39:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:41:05.000,,17.6,,,,,43.0,,,
ELS_RM12349,1,2023-11-29 10:41:38.000,,,17.7,,,,,42.0,,
ELS_RM12349,1,2023-11-29 10:41:57.000,17.3,,,,,43.0,,,,
ELS_RM12349,1,2023-11-29 10:42:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:42:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:42:36.000,,,,17.5,,,,,41.0,
ELS_RM12349,1,2023-11-29 10:42:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:43:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:44:14.000,,,,,18.5,,,,,40.0
ELS_RM12349,1,2023-11-29 10:44:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:46:05.000,,17.6,,,,,40.0,,,
ELS_RM12349,1,2023-11-29 10:46:38.000,,,17.7,,,,,39.0,,
ELS_RM12349,1,2023-11-29 10:46:57.000,17.4,,,,,40.0,,,,
ELS_RM12349,1,2023-11-29 10:47:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:47:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:47:36.000,,,,17.6,,,,,38.0,
ELS_RM12349,1,2023-11-29 10:47:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:48:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:49:14.000,,,,,18.6,,,,,39.0
ELS_RM12349,1,2023-11-29 10:49:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:51:05.000,,17.8,,,,,39.0,,,
ELS_RM12349,1,2023-11-29 10:51:38.000,,,17.9,,,,,38.0,,
ELS_RM12349,1,2023-11-29 10:51:57.000,17.7,,,,,38.0,,,,
ELS_RM12349,1,2023-11-29 10:52:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:52:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:52:36.000,,,,17.8,,,,,38.0,
ELS_RM12349,1,2023-11-29 10:52:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:53:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:54:13.000,,,,,,,,,,38.0
ELS_RM12349,1,2023-11-29 10:54:14.000,,,,,18.7,,,,,
ELS_RM12349,1,2023-11-29 10:54:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:56:05.000,,17.9,,,,,38.0,,,
ELS_RM12349,1,2023-11-29 10:56:38.000,,,18.1,,,,,37.0,,
ELS_RM12349,1,2023-11-29 10:56:57.000,17.9,,,,,38.0,,,,
ELS_RM12349,1,2023-11-29 10:57:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:57:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:57:36.000,,,,18.0,,,,,37.0,
ELS_RM12349,1,2023-11-29 10:57:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:58:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 10:59:13.000,,,,,18.6,,,,,38.0
ELS_RM12349,1,2023-11-29 10:59:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:01:05.000,,17.9,,,,,37.0,,,
ELS_RM12349,1,2023-11-29 11:01:38.000,,,18.1,,,,,36.0,,
ELS_RM12349,1,2023-11-29 11:01:57.000,17.8,,,,,37.0,,,,
ELS_RM12349,1,2023-11-29 11:02:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:02:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:02:36.000,,,,18.0,,,,,37.0,
ELS_RM12349,1,2023-11-29 11:02:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:03:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:04:13.000,,,,,18.5,,,,,37.0
ELS_RM12349,1,2023-11-29 11:04:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:06:05.000,,18.0,,,,,37.0,,,
ELS_RM12349,1,2023-11-29 11:06:38.000,,,18.1,,,,,36.0,,
ELS_RM12349,1,2023-11-29 11:06:57.000,18.0,,,,,37.0,,,,
ELS_RM12349,1,2023-11-29 11:07:11.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:07:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:07:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:07:36.000,,,,18.1,,,,,37.0,
ELS_RM12349,1,2023-11-29 11:07:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:08:33.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:08:34.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:09:13.000,,,,,18.7,,,,,37.0
ELS_RM12349,1,2023-11-29 11:09:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:11:05.000,,18.1,,,,,36.0,,,
ELS_RM12349,1,2023-11-29 11:11:38.000,,,18.3,,,,,36.0,,
ELS_RM12349,1,2023-11-29 11:11:57.000,18.1,,,,,36.0,,,,
ELS_RM12349,1,2023-11-29 11:12:11.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:12:12.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:12:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:12:36.000,,,,18.2,,,,,36.0,
ELS_RM12349,1,2023-11-29 11:13:33.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:14:13.000,,,,,18.7,,,,,36.0
ELS_RM12349,1,2023-11-29 11:14:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:16:05.000,,18.1,,,,,36.0,,,
ELS_RM12349,1,2023-11-29 11:16:38.000,,,18.3,,,,,35.0,,
ELS_RM12349,1,2023-11-29 11:16:57.000,18.0,,,,,36.0,,,,
ELS_RM12349,1,2023-11-29 11:17:11.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:17:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:17:36.000,,,,18.2,,,,,35.0,
ELS_RM12349,1,2023-11-29 11:18:33.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:19:13.000,,,,,18.7,,,,,36.0
ELS_RM12349,1,2023-11-29 11:19:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:21:05.000,,18.1,,,,,36.0,,,
ELS_RM12349,1,2023-11-29 11:21:38.000,,,18.2,,,,,35.0,,
ELS_RM12349,1,2023-11-29 11:21:57.000,18.1,,,,,36.0,,,,
ELS_RM12349,1,2023-11-29 11:22:11.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:22:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:22:36.000,,,,18.2,,,,,35.0,
ELS_RM12349,1,2023-11-29 11:22:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:23:33.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:24:13.000,,,,,18.6,,,,,36.0
ELS_RM12349,1,2023-11-29 11:24:28.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:26:05.000,,18.1,,,,,35.0,,,
ELS_RM12349,1,2023-11-29 11:26:38.000,,,18.3,,,,,35.0,,
ELS_RM12349,1,2023-11-29 11:26:57.000,18.1,,,,,35.0,,,,
ELS_RM12349,1,2023-11-29 11:27:11.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:27:16.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:27:36.000,,,,18.2,,,,,35.0,
ELS_RM12349,1,2023-11-29 11:27:43.000,,,,,,,,,,
ELS_RM12349,1,2023-11-29 11:28:33.000,,,,,,,,,,
