"user_id","started","lastdata","therm_sens","therm_comfort","therm_pref","therm_accep","met","air_velocity","air_quality","humidity","overall_comfort","tiredness"
FA872888,2023-11-29 11:00:34.000,2023-11-29 11:10:42.000,4.0,5,1,1,1.2,3,3,4,,3
AA837241,2023-11-29 11:00:57.000,2023-11-29 11:01:26.000,6.0,5,2,2,1.0,6,6,6,,3
MD189828,2023-11-29 11:03:44.000,2023-11-29 11:18:22.000,3.0,3,3,1,1.0,4,4,4,,4
AA837241,2023-11-29 11:10:28.000,2023-11-29 11:11:04.000,5.0,4,2,2,1.2,3,4,4,,3
FA872888,2023-11-29 11:10:45.000,2023-11-29 11:19:55.000,5.0,4,1,1,1.2,3,3,4,,3
MD189828,2023-11-29 11:19:19.000,2023-11-29 11:21:42.000,3.0,4,3,1,1.0,4,5,4,,4
FA872888,2023-11-29 11:19:57.000,2023-11-29 11:29:44.000,4.0,4,2,1,1.2,3,3,3,,3
MB654888,2023-11-29 11:21:27.000,2023-11-29 11:23:54.000,3.0,4,3,1,1.0,5,5,4,,4
FA369774,2023-11-29 11:21:56.000,2023-11-29 11:23:59.000,4.0,4,2,1,1.0,5,5,5,,3
MD189828,2023-11-29 11:29:16.000,2023-11-29 11:31:00.000,4.0,4,2,1,1.0,5,4,4,,4
FA872888,2023-11-29 11:29:46.000,2023-11-29 11:39:56.000,4.0,4,2,1,1.2,4,3,3,,3
FA369774,2023-11-29 11:31:42.000,2023-11-29 11:33:02.000,3.0,3,3,1,1.0,6,6,5,,3
MB654888,2023-11-29 11:31:47.000,2023-11-29 11:34:09.000,3.0,3,3,1,1.0,5,5,5,,4
MD189828,2023-11-29 11:39:33.000,2023-11-29 11:41:16.000,4.0,4,2,1,1.2,4,4,4,,4
FA872888,2023-11-29 11:39:59.000,2023-11-29 11:50:14.000,4.0,4,2,1,1.2,4,3,4,,3
FA369774,2023-11-29 11:41:44.000,2023-11-29 11:43:08.000,3.0,3,3,2,1.0,6,6,5,,3
MB654888,2023-11-29 11:41:52.000,2023-11-29 11:43:38.000,3.0,4,3,1,1.0,5,5,5,,4
MD189828,2023-11-29 11:49:37.000,2023-11-29 11:51:12.000,4.0,4,2,1,1.2,4,4,4,,4
MB654888,2023-11-29 11:51:46.000,2023-11-29 11:54:02.000,3.0,4,3,1,1.0,5,5,5,,4
FA369774,2023-11-29 11:51:49.000,2023-11-29 11:54:07.000,3.0,3,3,2,1.0,6,6,5,,3
MD189828,2023-11-29 11:59:18.000,2023-11-29 12:01:04.000,4.0,4,2,1,1.0,3,4,4,,4
FA872888,2023-11-29 11:59:22.000,2023-11-29 11:59:52.000,4.0,4,2,1,1.2,4,3,3,,3
FA369774,2023-11-29 12:01:45.000,2023-11-29 12:03:53.000,3.0,3,3,2,1.0,6,6,5,,3
MB654888,2023-11-29 12:01:50.000,2023-11-29 12:03:27.000,3.0,4,3,1,1.0,5,5,5,,4
FA872888,2023-11-29 12:09:11.000,2023-11-29 12:09:44.000,3.0,4,3,1,1.2,4,3,3,,3
MD189828,2023-11-29 12:09:19.000,2023-11-29 12:12:07.000,3.0,3,3,1,1.0,3,5,3,,4
FA369774,2023-11-29 12:11:45.000,2023-11-29 12:13:07.000,2.0,2,3,2,1.0,6,6,5,,3
MB654888,2023-11-29 12:11:48.000,2023-11-29 12:13:10.000,3.0,4,3,1,1.0,5,5,5,,4
FA872888,2023-11-29 12:19:14.000,2023-11-29 12:19:47.000,3.0,4,3,1,1.2,4,3,3,,3
MD189828,2023-11-29 12:19:15.000,2023-11-29 12:20:32.000,3.0,3,3,1,1.0,5,5,5,,4
MB654888,2023-11-29 12:21:45.000,2023-11-29 12:22:47.000,3.0,4,3,1,1.0,5,5,5,,4
FA369774,2023-11-29 12:21:59.000,2023-11-29 12:23:15.000,2.0,3,3,2,1.0,6,6,5,,3
FA872888,2023-11-29 12:39:13.000,2023-11-29 12:39:43.000,4.0,4,2,1,1.2,4,3,4,,3
MD189828,2023-11-29 12:39:40.000,2023-11-29 12:41:10.000,3.0,4,3,1,1.0,5,5,3,,4
MB654888,2023-11-29 12:41:52.000,2023-11-29 12:43:19.000,3.0,4,3,1,1.0,5,5,5,,4
FA369774,2023-11-29 12:41:52.000,2023-11-29 12:43:26.000,2.0,2,3,2,1.0,6,5,5,,3
MD189828,2023-11-29 12:49:15.000,2023-11-29 12:50:27.000,3.0,3,3,1,1.0,2,5,3,,4
FA872888,2023-11-29 12:49:21.000,2023-11-29 12:49:55.000,4.0,4,2,1,1.2,4,4,3,,3
FA369774,2023-11-29 12:51:47.000,2023-11-29 12:53:32.000,3.0,3,3,2,1.0,6,6,5,,3
MB654888,2023-11-29 12:51:53.000,2023-11-29 12:53:59.000,3.0,4,3,1,1.0,5,5,5,,4
MD189828,2023-11-29 12:59:15.000,2023-11-29 13:00:28.000,3.0,3,3,1,1.0,3,5,3,,4
FA872888,2023-11-29 12:59:20.000,2023-11-29 12:59:46.000,4.0,4,2,1,1.2,4,3,3,,3
MB654888,2023-11-29 13:01:49.000,2023-11-29 13:05:01.000,4.0,4,3,1,1.0,4,5,4,,4
MD189828,2023-11-29 13:09:15.000,2023-11-29 13:10:29.000,3.0,3,3,1,1.0,5,6,6,,4
FA872888,2023-11-29 13:09:23.000,2023-11-29 13:09:45.000,4.0,4,2,1,1.2,4,3,3,,3
FA369774,2023-11-29 13:11:44.000,2023-11-29 13:13:24.000,3.0,3,3,2,1.0,5,5,5,,3
MB654888,2023-11-29 13:11:47.000,2023-11-29 13:13:47.000,4.0,4,3,1,1.0,4,4,4,,4
FA872888,2023-11-29 13:19:11.000,2023-11-29 13:19:36.000,4.0,4,2,1,1.0,4,4,3,,3
MD189828,2023-11-29 13:19:45.000,2023-11-29 13:20:40.000,2.0,3,3,1,1.0,5,6,3,,4
MB654888,2023-11-29 13:21:56.000,2023-11-29 13:24:10.000,4.0,4,3,1,1.0,4,4,4,,4
FA369774,2023-11-29 13:22:07.000,2023-11-29 13:24:01.000,3.0,3,3,2,1.0,4,5,4,,3
FA872888,2023-11-29 13:29:15.000,2023-11-29 13:29:34.000,4.0,4,2,1,1.0,4,3,3,,3
MD189828,2023-11-29 13:29:18.000,2023-11-29 13:30:29.000,3.0,3,3,1,1.0,5,5,5,,4
FA369774,2023-11-29 13:32:12.000,2023-11-29 13:33:45.000,4.0,4,2,1,1.0,4,4,4,,3
MB654888,2023-11-29 13:32:17.000,2023-11-29 13:33:57.000,4.0,5,3,1,1.2,4,4,4,,4
FA872888,2023-11-29 12:29:20.000,2023-11-29 12:30:09.000,3.0,4,3,1,1.2,4,3,3,4.0,3
FA369774,2023-11-29 12:32:02.000,2023-11-29 12:34:22.000,2.0,2,3,2,1.0,6,6,6,2.0,3
MB654888,2023-11-29 12:34:16.000,2023-11-29 12:36:48.000,3.0,4,3,1,1.6,5,5,5,4.0,4
MD189828,2023-11-29 12:37:17.000,2023-11-29 12:39:31.000,3.0,4,2,1,1.6,3,5,4,4.0,4
FA369774,2023-11-29 13:01:51.000,2023-11-29 13:05:03.000,2.0,3,3,2,1.0,5,5,5,3.0,3
MD189828,2023-11-29 13:38:28.000,2023-11-29 13:41:14.000,4.0,4,3,1,1.0,3,3,4,4.0,4
MB654888,2023-11-29 13:39:09.000,2023-11-29 13:44:20.000,5.0,5,2,1,1.0,4,4,4,5.0,4
FA872888,2023-11-29 13:39:11.000,2023-11-29 13:39:53.000,5.0,4,2,1,1.0,4,3,3,4.0,3
FA369774,2023-11-29 13:42:01.000,2023-11-29 13:44:09.000,4.0,5,2,1,1.0,4,4,4,5.0,3
FA872888,2023-11-29 13:49:14.000,2023-11-29 13:49:47.000,5.0,4,1,1,1.0,4,3,3,4.0,3
MD189828,2023-11-29 13:49:14.000,2023-11-29 13:50:37.000,5.0,4,2,1,1.0,5,3,3,4.0,3
FA369774,2023-11-29 13:51:54.000,2023-11-29 13:54:46.000,5.0,3,1,2,1.0,4,3,3,3.0,3
MB654888,2023-11-29 13:51:56.000,2023-11-29 13:55:05.000,5.0,5,2,1,1.2,4,4,4,5.0,4
MD189828,2023-11-29 13:59:14.000,2023-11-29 14:00:34.000,5.0,4,2,1,1.0,2,4,4,4.0,3
